city,lat,lon
Berlin,52.5200,13.4050
Hamburg,53.5511,9.9937
Munich,48.1351,11.5820
Cologne,50.9375,6.9603
Frankfurt,50.1109,8.6821
Stuttgart,48.7758,9.1829
Düsseldorf,51.2277,6.7735
Dortmund,51.5136,7.4653
Essen,51.4556,7.0116
Leipzig,51.3397,12.3731
Bremen,53.0793,8.8017
Dresden,51.0504,13.7373
Hannover,52.3759,9.7320
Nuremberg,49.4521,11.0767
Duisburg,51.4344,6.7623
Bochum,51.4818,7.2162
Wuppertal,51.2562,7.1508
Bielefeld,52.0302,8.5325
Bonn,50.7374,7.0982
Münster,51.9607,7.6261
Karlsruhe,49.0069,8.4037
Mannheim,49.4875,8.4660
Augsburg,48.3705,10.8978
Wiesbaden,50.0826,8.2400
Gelsenkirchen,51.5177,7.0857
Mönchengladbach,51.1805,6.4428
Braunschweig,52.2689,10.5268
Chemnitz,50.8278,12.9214
Kiel,54.3233,10.1228
Aachen,50.7753,6.0839
Halle,51.4970,11.9688
Magdeburg,52.1205,11.6276
Freiburg,47.9990,7.8421
Krefeld,51.3388,6.5853
Lübeck,53.8655,10.6866
Oberhausen,51.4696,6.8514
Erfurt,50.9848,11.0299
Mainz,49.9929,8.2473
Rostock,54.0887,12.1405
Kassel,51.3127,9.4797
Hagen,51.3671,7.4632
Hamm,51.6739,7.8159
Saarbrücken,49.2402,6.9969
Mülheim,51.4271,6.8829
Potsdam,52.3906,13.0645
Ludwigshafen,49.4774,8.4452
Oldenburg,53.1435,8.2146
Leverkusen,51.0459,6.9836
Osnabrück,52.2799,8.0472
Solingen,51.1652,7.0832
Heidelberg,49.3988,8.6724
Herne,51.5369,7.2009
Neuss,51.1987,6.6914
Darmstadt,49.8728,8.6512
Paderborn,51.7189,8.7544
Regensburg,49.0134,12.1016
Ingolstadt,48.7665,11.4257
Würzburg,49.7913,9.9534
Fürth,49.4774,10.9886
Wolfsburg,52.4227,10.7865
Offenbach,50.0956,8.7761
Ulm,48.4010,9.9876
Heilbronn,49.1427,9.2109
Pforzheim,48.8912,8.6947
Göttingen,51.5413,9.9158
Bottrop,51.5247,6.9229
Trier,49.7490,6.6371
Recklinghausen,51.6141,7.1979
Reutlingen,48.4914,9.2044
Bremerhaven,53.5396,8.5809
Koblenz,50.3569,7.5890
Bergisch Gladbach,50.9856,7.1336
Jena,50.9270,11.5860
Remscheid,51.1787,7.1897
Erlangen,49.5897,11.0057
Moers,51.4516,6.6269
Siegen,50.8838,8.0250
Hildesheim,52.1549,9.9515
Salzgitter,52.1547,10.4076
Cottbus,51.7606,14.3343
Kaiserslautern,49.4447,7.7689
Witten,51.4399,7.3536
Schwerin,53.6355,11.4125
Esslingen,48.7391,9.3049
Ludwigsburg,48.8940,9.1955
Gera,50.8779,12.0833
Iserlohn,51.3755,7.6956
Hanau,50.1264,8.9284
Düren,50.8003,6.4821
Tübingen,48.5216,9.0577
Flensburg,54.7937,9.4469
Zwickau,50.7199,12.4923
Gießen,50.5821,8.6765
Ratingen,51.2964,6.8486
Lünen,51.6189,7.5287
Villingen-Schwenningen,48.0654,8.4565
Konstanz,47.6779,9.1732
Worms,49.6328,8.3622
Marl,51.6546,7.0956
Minden,52.2833,8.9167
Neumünster,54.0729,9.9840
Dessau-Roßlau,51.8322,12.2457
Norderstedt,53.6966,9.9830
Delmenhorst,53.0497,8.6316
Bamberg,49.8988,10.8905
Viersen,51.2558,6.3975
Marburg,50.8075,8.7713
Rheine,52.2799,7.4343
Wilhelmshaven,53.5221,8.1101
Lüneburg,53.2464,10.4115
Bayreuth,49.9456,11.5764
Gladbeck,51.5707,6.9853
Dorsten,51.6604,6.9638
Arnsberg,51.3955,8.0646
Troisdorf,50.8165,7.1554
Castrop-Rauxel,51.5561,7.3115
Landshut,48.5372,12.1522
Herten,51.5969,7.1402
Brandenburg,52.4125,12.5316
Fulda,50.5558,9.6808
Bocholt,51.8386,6.6153
